Energy Type ID,Energy Type,Renewable Energy Project ID,Renewable Energy Project,2024 ID,2024,Estimated number of housing units to be supplied with electricity,Levelized Cost of Energy (LCOE),Operation Start Year,Project Capacity,Total Investment
1,Solar energy,1,Sakakah,2024,2024,54800.0,2.34,2019.0,300.0,1.157
1,Solar energy,3,Jeddah,2024,2024,54900.0,1.62,2023.0,300.0,0.891
1,Solar energy,4,Rabigh 1,2024,2024,52700.0,1.7,2023.0,300.0,0.752
1,Solar energy,5,Sudair,2024,2024,262800.0,1.24,2023.0,1500.0,3.465
1,Solar energy,6,Saad 1,2024,2024,46000.0,1.48,2024.0,300.0,0.852
1,Solar energy,7,Al Shuaiba 1,2024,2024,102000.0,1.04,2024.0,600.0,2.0
1,Solar energy,8,Al Rass 1,2024,2024,110200.0,1.5,2024.0,700.0,1.847
1,Solar energy,9,Layla,2024,2024,14000.0,2.98,2024.0,91.0,0.4
1,Solar energy,10,Al Shuaiba 2,2024,2024,350000.0,1.79,2024.0,2060.0,6.9
2,Wind energy,2,Domat al-Jandal,2024,2024,93400.0,2.13,2022.0,400.0,1.575
